Curve H2
0 0
50 0
100 0
150 0
200 0
250 0
300 0
350 0
400 0
450 0
500 0
550 0
600 0
650 0
700 0
750 0
800 0
850 0
900 0
950 0
1000 0
1050 0
1100 0
1150 0
1200 0
1250 0
1300 0
1350 0
1400 0
1450 0
1500 0
1550 0
1600 0
1650 0
1700 0
1750 0
1800 0
1850 0
1900 0
1950 0
2000 0
2050 0
2100 0
2150 0
2200 0
2250 0
2300 0
2350 0
2400 0
2450 0
2500 0
2550 0
2600 0
2650 0
2700 0
2750 0
2800 0
2850 0
2900 0
2950 0
3000 0
3050 0
3100 0
3150 0
3200 0
3250 0
3300 0
3350 0
3400 0
3450 0
3500 0
3550 0
3600 0
3650 0
3700 0
3750 0
3800 0
3850 0
3900 0
3950 0
4000 0
4050 0
4100 0
4150 0
4200 0
4250 0
4300 0
4350 0
4400 0
4450 0
4500 0
4550 0
4600 0
4650 0
4700 0
4750 0
4800 0
4850 0
4900 0
4950 0
5000 0
5050 0
5100 0
5150 0
5200 0
5250 0
5300 0
5350 0
5400 0
5450 0
5500 0
5550 0
5600 0
5650 0
5700 0
5750 0
5800 0
5850 0
5900 0
5950 0
6000 0
6050 0
6100 0
6150 0
6200 0
6250 0
6300 0
6350 0
6400 0
6450 0
6500 0
6550 0
6600 0
6650 0
6700 0
6750 0
6800 0
6850 0
6900 0
6950 0
7000 0
7050 0
7100 0
7150 0
7200 0
7250 0
7300 0
7350 0
7400 0
7450 0
7500 0
7550 0
7600 0
7650 0
7700 0
7750 0
7800 0
7850 0
7900 0
7950 0
8000 0
8050 0
8100 0
8150 0
8200 0
8250 0
8300 0
8350 0
8400 0
8450 0
8500 0
8550 0
8600 0
8650 0
8700 0
8750 0
8800 0
8850 0
8900 0
8950 0
9000 0
9050 0
9100 0
9150 0
9200 0
9250 0
9300 0
9350 0
9400 0
9450 0
9500 0
9550 0
9600 0
9650 0
9700 0
9750 0
9800 0
9850 0
9900 0
9950 0
10000 0
10050 0
10100 0
10150 0
10200 0
10250 0
10300 0
10350 0
10400 0
10450 0
10500 0
10550 0
10600 0
10650 0
10700 0
10750 0
10800 0
10850 0
10900 0
10950 0
11000 0
11050 0
11100 0
11150 0
11200 0
11250 0
11300 0
11350 0
11400 0
11450 0
11500 0
11550 0
11600 0
11650 0
11700 0
11750 0
11800 0
11850 0
11900 0
11950 0
12000 0
12050 0
12100 0
12150 0
12200 0
12250 0
12300 0
12350 0
12400 0
12450 0
12500 0
12550 0
12600 0
12650 1
12700 1
12750 1
12800 1
12850 1
12900 1
12950 1
13000 1
13050 1
13100 1
13150 1
13200 1
13250 1
13300 1
13350 1
13400 1
13450 1
13500 1
13550 1
13600 1
13650 1
13700 1
13750 1
13800 1
13850 1
13900 1
13950 1
14000 1
14050 1
14100 1
14150 1
14200 1
14250 1
14300 1
14350 1
14400 1
14450 1
14500 1
14550 1
14600 1
14650 1
14700 1
14750 1
14800 1
14850 1
14900 1
14950 1
15000 1
15050 1
15100 1
15150 1
15200 1
15250 1
15300 1
15350 2
15400 2
15450 2
15500 2
15550 2
15600 2
15650 2
15700 2
15750 2
15800 2
15850 2
15900 2
15950 3
16000 3
16050 3
16100 3
16150 3
16200 3
16250 3
16300 3
16350 3
16400 3
16450 3
16500 3
16550 3
16600 3
16650 3
16700 3
16750 3
16800 3
16850 3
16900 3
16950 3
17000 3
17050 3
17100 3
17150 3
17200 3
17250 3
17300 3
17350 3
17400 3
17450 3
17500 3
17550 3
17600 3
17650 3
17700 3
17750 3
17800 3
17850 3
17900 3
17950 3
18000 3
18050 3
18100 3
18150 3
18200 3
18250 3
18300 3
18350 3
18400 3
18450 3
18500 3
18550 3
18600 3
18650 3
18700 3
18750 3
18800 3
18850 3
18900 3
18950 3
19000 3
19050 3
19100 3
19150 3
19200 3
19250 3
19300 3
19350 3
19400 3
19450 3
19500 3
19550 3
19600 3
19650 3
19700 3
19750 3
19800 3
19850 3
19900 3
19950 3
20000 3
20050 3
20100 3
20150 3
20200 3
20250 3
20300 3
20350 3
20400 3
20450 3
20500 3
20550 3
20600 3
20650 3
20700 3
20750 3
20800 3
20850 3
20900 3
20950 3
21000 3
21050 3
21100 3
21150 3
21200 3
21250 3
21300 3
21350 3
21400 3
21450 3
21500 3
21550 3
21600 3
21650 3
21700 3
21750 3
21800 3
21850 3
21900 3
21950 3
22000 3
22050 3
22100 3
22150 3
22200 3
22250 3
22300 3
22350 3
22400 3
22450 3
22500 3
22550 3
22600 3
22650 3
22700 3
22750 3
22800 4
22850 4
22900 4
22950 4
23000 4
23050 4
23100 4
23150 4
23200 4
23250 4
23300 4
23350 4
23400 4
23450 4
23500 4
23550 4
23600 4
23650 4
23700 4
23750 4
23800 4
23850 4
23900 4
23950 5
24000 5
24050 5
24100 5
24150 5
24200 5
24250 5
24300 5
24350 5
24400 5
24450 5
24500 5
24550 5
24600 5
24650 5
24700 5
24750 5
24800 5
24850 5
24900 5
24950 5
25000 5
25050 5
25100 5
25150 5
25200 5
25250 5
25300 5
25350 5
25400 5
25450 5
25500 5
25550 5
25600 5
25650 5
25700 5
25750 5
25800 5
25850 5
25900 5
25950 5
26000 5
26050 5
26100 5
26150 5
26200 5
26250 5
26300 5
26350 5
26400 5
26450 5
26500 5
26550 5
26600 5
26650 5
26700 5
26750 5
26800 5
26850 5
26900 5
26950 5
27000 5
27050 5
27100 5
27150 5
27200 5
27250 5
27300 5
27350 5
27400 5
27450 5
27500 5
27550 5
27600 5
27650 5
27700 5
27750 5
27800 5
27850 5
27900 5
27950 5
28000 5
28050 5
28100 5
28150 5
28200 5
28250 5
28300 5
28350 5
28400 5
28450 5
28500 5
28550 5
28600 5
28650 5
28700 5
28750 5
28800 5
28850 5
28900 5
28950 5
29000 5
29050 5
29100 5
29150 5
29200 5
29250 5
29300 5
29350 5
29400 5
29450 5
29500 5
29550 5
29600 5
29650 5
29700 5
29750 5
29800 5
29850 5
29900 5
29950 5
30000 5
30050 5
30100 5
30150 5
30200 5
30250 5
30300 5
30350 5
30400 5
30450 5
30500 5
30550 5
30600 5
30650 5
30700 5
30750 5
30800 5
30850 5
30900 5
30950 5
31000 5
31050 5
31100 5
31150 5
31200 5
31250 5
31300 5
31350 5
31400 5
31450 5
31500 5
31550 5
31600 5
31650 5
31700 5
31750 5
31800 5
31850 5
31900 5
31950 5
32000 5
32050 5
32100 5
32150 5
32200 5
32250 5
32300 5
32350 5
32400 5
32450 6
32500 6
32550 6
32600 6
32650 6
32700 6
32750 6
32800 6
32850 6
32900 6
32950 6
33000 6
33050 7
33100 7
33150 7
33200 7
33250 7
33300 7
33350 7
33400 7
33450 7
33500 7
33550 7
33600 7
33650 8
33700 8
33750 8
33800 8
33850 8
33900 8
33950 8
34000 8
34050 8
34100 8
34150 8
34200 8
34250 8
34300 8
34350 8
34400 8
34450 8
34500 8
34550 8
34600 8
34650 8
34700 8
34750 8
34800 8
34850 8
34900 8
34950 8
35000 8
35050 8
35100 8
35150 8
35200 8
35250 8
35300 8
35350 8
35400 8
35450 8
35500 8
35550 8
35600 8
35650 8
35700 8
35750 8
35800 8
35850 8
35900 8
35950 8
36000 8
36050 8
36100 8
36150 8
36200 8
36250 8
36300 8
36350 8
36400 8
36450 8
36500 8
36550 8
36600 8
36650 8
36700 8
36750 8
36800 8
36850 8
36900 8
36950 8
37000 8
37050 8
37100 8
37150 8
37200 8
37250 8
37300 8
37350 8
37400 8
37450 8
37500 8
37550 8
37600 8
37650 8
37700 8
37750 8
37800 8
37850 8
37900 8
37950 8
38000 8
38050 8
38100 8
38150 8
38200 8
